device.display_name,device.hostname,device.id,device.primary_system_user_id,device.os,device.os_version,device.agent_reporting_status,device.last_contact,device_system_detail.uptime,device.hardware_vendor,device.hardware_model,device.serial_number,device.architecture,device_system_detail.memory,device_disk_summary.primary_free,device_disk_summary.primary_used,device_system_detail.cpu_brand,device_system_detail.cpu
USATP-0183 MBA,FVFG79NPQ6LR,612ab2b738b6544462d8ba3d,,Mac OS X,26.2.25C56,Inactive,2026-01-14T10:25:23.347Z,815161,Apple Inc.,"MacBookAir10,1",FVFG79NPQ6LR,arm64,1.7179869184e+10,1.64552667136e+11,8.0554528768e+10,Apple M1,arm64e ARM64E
USATP - 0184,usatestprep-MacBook-Air,687824f9a8569fc444681848,,Mac OS X,26.2.25C56,Inactive,2026-01-15T13:05:54.87Z,755695,Apple Inc.,"MacBookAir10,1",FVFG7CW1Q6LR,arm64,1.7179869184e+10,1.8686334976e+11,5.8243846144e+10,Apple M1,arm64e ARM64E
USATP-0185 MBA,FVFG78BDQ6LR,612ab9f9ba900a172cead701,,Mac OS X,26.2.25C56,Inactive,2026-02-17T20:46:00.501Z,716670,Apple Inc.,"MacBookAir10,1",FVFG78BDQ6LR,arm64,1.7179869184e+10,3.1083184128e+10,2.14024011776e+11,Apple M1,arm64e ARM64E
USATP-0186 MBA,FVFG7BZRQ6LR,612aaed324b82b180d093e38,,Mac OS X,26.2.25C56,Inactive,2026-01-15T03:01:08.127Z,855024,Apple Inc.,"MacBookAir10,1",FVFG7BZRQ6LR,arm64,1.7179869184e+10,1.43031455744e+11,1.0207574016e+11,Apple M1,arm64e ARM64E
USATP-0187 MBA,FVFG7CYVQ6LR,612cff16b3453517e7d41111,,Mac OS X,26.2.25C56,Inactive,2026-01-12T16:11:44Z,1.172861e+06,Apple Inc.,"MacBookAir10,1",FVFG7CYVQ6LR,arm64,1.7179869184e+10,1.13343401984e+11,1.3176379392e+11,Apple M1,arm64e ARM64E
USATP-0188 MBA,FVFG7D4BQ6LR,612e4744a4713e168a5595c7,,Mac OS X,26.2.25C56,Inactive,2026-02-17T21:09:51Z,1.000442e+06,Apple Inc.,"MacBookAir10,1",FVFG7D4BQ6LR,arm64,1.7179869184e+10,1.12143159296e+11,1.32964036608e+11,Apple M1,arm64e ARM64E
USATP-0189 MBA,FVFG7D6QQ6LR,612aabbd0c14c968a3271c6d,,Mac OS X,26.2.25C56,Inactive,2026-01-30T16:07:04.31Z,26769,Apple Inc.,"MacBookAir10,1",FVFG7D6QQ6LR,arm64,1.7179869184e+10,9.1486932992e+10,1.53620262912e+11,Apple M1,arm64e ARM64E
USATP-0190 MBA,FVFG7DBQQ6LR,612aa039c7b79a4e7a3e196f,,Mac OS X,26.1.25B78,Inactive,2026-01-30T19:30:39Z,3.456864e+06,Apple Inc.,"MacBookAir10,1",FVFG7DBQQ6LR,arm64,1.7179869184e+10,1.03258976256e+11,1.41848219648e+11,Apple M1,arm64e ARM64E
USATP-0191 MBA,FVFG7A12Q6LR,612cf54797143632121e2146,,Mac OS X,26.2.25C56,Inactive,2026-02-17T20:09:35.764Z,685444,Apple Inc.,"MacBookAir10,1",FVFG7A12Q6LR,arm64,1.7179869184e+10,9.012494336e+10,1.54982252544e+11,Apple M1,arm64e ARM64E
USATP-0292 MBA,FVFHR0MSQ6LR,642c246d4ae8781285385b29,,Mac OS X,26.2.25C56,Inactive,2026-01-15T01:31:54.34Z,756768,Apple Inc.,"MacBookAir10,1",FVFHR0MSQ6LR,arm64,1.7179869184e+10,8.617361408e+10,1.58933581824e+11,Apple M1,arm64e ARM64E
USATP - 0293 MBA,FVFHR0YMQ6LR,65148c352d6991d77bc5e707,,Mac OS X,26.1.25B78,Inactive,2026-02-17T19:43:43.316Z,3.470245e+06,Apple Inc.,"MacBookAir10,1",FVFHR0YMQ6LR,arm64,1.7179869184e+10,1.639523328e+11,8.1154863104e+10,Apple M1,arm64e ARM64E
USATP-0294 MBA,FVFHR0XTQ6LR,62bdc43343fc9b61fc8c7d75,,Mac OS X,26.2.25C56,Inactive,2026-02-13T09:36:59.189Z,1.438382e+06,Apple Inc.,"MacBookAir10,1",FVFHR0XTQ6LR,arm64,1.7179869184e+10,1.68742043648e+11,7.6365152256e+10,Apple M1,arm64e ARM64E
USATP - 0295 MBA,FVFHR0QRQ6LR,6598381e4a33e9a1e677feac,,Mac OS X,26.2.25C56,Inactive,2026-01-12T21:29:57.732Z,598146,Apple Inc.,"MacBookAir10,1",FVFHR0QRQ6LR,arm64,1.7179869184e+10,9.8876932096e+10,1.46230263808e+11,Apple M1,arm64e ARM64E
USATP - 0296 MBA,FVFHR0XDQ6LR,62b9f4a6be42e46ddb11d3d4,,Mac OS X,26.2.25C56,Inactive,2026-01-13T17:23:55.997Z,694674,Apple Inc.,"MacBookAir10,1",FVFHR0XDQ6LR,arm64,1.7179869184e+10,1.4571655168e+11,9.9390644224e+10,Apple M1,arm64e ARM64E
