Device ID,Device Name,Device Category,Device Type,Device Subtype,Discovery sources,Domain,AAD Device Id,First Seen,Last device update,OS Platform,OS Distribution,OS Version,OS Build,Windows 10 Version,Tags,Group,Is AAD Joined,Device IPs,Device MACs,Risk Level,Exposure Level,Health Status,Onboarding Status,Device Role,Cloud Platforms,Is Internet Facing,Enrollment Status Code,Managed By,Enrollment Status,Vendor,Model
19d306b91f7325210e204379321f7d4bd087e20a,"ec2amaz-g939gma",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:12:53,2026-06-08 12:17:57,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.194.13, 127.0.0.1, fe80::fb76:f19f:6b3f:63cb, ::1","0A-03-9B-76-F7-A3, 0A-03-9B-76-F7-A3, 0A-03-9B-76-F7-A3, 0A-03-9B-76-F7-A3",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
0cc4a278eda04d92929e9c053a3a4a89578cb754,"ec2amaz-3fn1ivo",Unknown,Unknown,Unknown,"",Workgroup,,2026-06-08 12:07:44,2026-06-08 12:07:44,,"Other","Other",,,"",0,False,"","",No known risks,No data available,Active,Onboarded,,,False,Unknown,Unknown,Unknown,,
65c3e5acbff2f6371574cb432f1290049e7fa938,"pl-qa-sql-02",Computers and Mobile,Server,Server,"Defender for Cloud,Defender for Endpoint",progresslearning.dc,,2026-02-26 10:11:47,2026-06-08 11:42:18,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.195.92, 127.0.0.1, fe80::8513:f85e:ae5c:55e8, ::1","0A-8F-D5-E5-D3-83, 0A-8F-D5-E5-D3-83, 0A-8F-D5-E5-D3-83, 0A-8F-D5-E5-D3-83",No known risks,Medium,Active,Onboarded,"DatabaseServer","Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
cac9371b0eda1510cc18ef61764c543ce24b1052,"ec2amaz-3fn1ivo",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:12:55,2026-06-08 12:12:56,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.195.248, 127.0.0.1, fe80::d77e:fa40:15d3:93ff, ::1","0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
d979a4eb23054e1a6b2d31fd3591b39d85962ebb,"pl-dv-w3g-1ivo",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:22:17,2026-06-08 12:37:17,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.195.248, 127.0.0.1, fe80::d77e:fa40:15d3:93ff, ::1","0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83, 0A-56-2E-F0-51-83",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
7dcdacf3b676532926b96cf244ca8e0d9f7921c9,"pl-qa-w3g-60q4",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:22:52,2026-06-08 12:37:52,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.195.237, 127.0.0.1, fe80::b4ac:78f2:598e:2c6e, ::1","0A-B1-90-83-3A-C1, 0A-B1-90-83-3A-C1, 0A-B1-90-83-3A-C1, 0A-B1-90-83-3A-C1",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
64efa215427ebc63142c7d9f9a3fa635bf8fa489,"pl-qa-w3g-cli1",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:22:51,2026-06-08 12:37:52,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.190.119, 127.0.0.1, fe80::9cea:943f:b4c7:9e7b, ::1","02-50-00-10-6B-F9, 02-50-00-10-6B-F9, 02-50-00-10-6B-F9, 02-50-00-10-6B-F9",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
d9c5fdf1b834bd544a788740ae86ceace9f7ad4f,"pl-dv-sql-02",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-10 00:16:58,2026-06-08 20:19:10,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.192.198, 127.0.0.1, fe80::49ca:d097:24db:8432, ::1","0A-59-16-00-C2-65, 0A-59-16-00-C2-65, 0A-59-16-00-C2-65, 0A-59-16-00-C2-65",No known risks,Medium,Active,Onboarded,"DatabaseServer","Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
65c00f3f388eef017e407141afa01d5266f01ae3,"ec2amaz-2fkal8d",Computers and Mobile,Server,Server,"Defender for Endpoint",Workgroup,,2026-06-08 11:07:37,2026-06-08 11:07:37,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.167.139, 127.0.0.1, fe80::f5f7:f3c2:bb76:ae8c, ::1","02-7E-A5-9B-BF-35",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
d98c17e28bf89c6973e4147ee8a651088367f98c,"pl-it-utils-25",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-25 22:34:04,2026-06-08 17:14:08,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.165.176, 127.0.0.1, fe80::2932:2135:837b:d77, ::1","02-6B-7B-7E-CF-D9, 02-6B-7B-7E-CF-D9, 02-6B-7B-7E-CF-D9, 02-6B-7B-7E-CF-D9",No known risks,Medium,Active,Onboarded,"DatabaseServer","Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
